state,lga_code_2021,lga_name,usual_resident_population_2021,irsd_score,irsd_decile_au,irsad_score,irsad_decile_au,ier_score,ier_decile_au,ieo_score,ieo_decile_au
SA,40070,Adelaide,25026.0,1002.0,7.0,1058.0,9.0,856.0,1.0,1137.0,10.0
SA,40120,Adelaide Hills,40879.0,1081.0,10.0,1066.0,10.0,1083.0,10.0,1070.0,9.0
SA,40220,Alexandrina,28730.0,988.0,6.0,949.0,5.0,1007.0,8.0,941.0,5.0
SA,40310,Barossa,25066.0,1014.0,8.0,976.0,7.0,1025.0,9.0,955.0,6.0
SA,40700,Burnside,46030.0,1083.0,10.0,1102.0,10.0,1050.0,10.0,1131.0,10.0
SA,40910,Campbelltown (SA),54800.0,1021.0,8.0,1012.0,9.0,990.0,6.0,1030.0,9.0
SA,41010,Ceduna,3505.0,943.0,3.0,927.0,4.0,928.0,2.0,926.0,4.0
SA,41060,Charles Sturt,121840.0,1001.0,7.0,993.0,8.0,969.0,4.0,1005.0,8.0
SA,41140,Clare and Gilbert Valleys,9187.0,998.0,7.0,963.0,6.0,994.0,7.0,960.0,7.0
SA,41190,Cleve,1742.0,989.0,6.0,952.0,6.0,988.0,6.0,949.0,6.0
SA,41330,Coober Pedy,1566.0,868.0,1.0,868.0,1.0,832.0,1.0,868.0,1.0
SA,47800,Coorong,5463.0,939.0,3.0,911.0,3.0,956.0,3.0,910.0,3.0
SA,41560,Copper Coast,15050.0,924.0,2.0,892.0,2.0,950.0,3.0,873.0,1.0
SA,41750,Elliston,1014.0,959.0,4.0,952.0,5.0,962.0,4.0,988.0,8.0
SA,41830,Flinders Ranges,1646.0,933.0,3.0,907.0,2.0,944.0,3.0,902.0,3.0
SA,41960,Franklin Harbour,1293.0,959.0,4.0,923.0,3.0,970.0,4.0,906.0,3.0
SA,42030,Gawler,24988.0,960.0,4.0,931.0,4.0,968.0,4.0,926.0,4.0
SA,42110,Goyder,4060.0,947.0,3.0,914.0,3.0,957.0,3.0,919.0,4.0
SA,42250,Grant,8636.0,1026.0,8.0,974.0,7.0,1055.0,10.0,927.0,4.0
SA,42600,Holdfast Bay,37543.0,1047.0,9.0,1044.0,9.0,999.0,7.0,1062.0,9.0
SA,42750,Kangaroo Island,4894.0,991.0,7.0,952.0,6.0,982.0,5.0,945.0,6.0
SA,43080,Karoonda East Murray,1007.0,956.0,4.0,930.0,4.0,975.0,5.0,946.0,6.0
SA,43220,Kimba,1037.0,1020.0,8.0,985.0,8.0,1007.0,8.0,986.0,8.0
SA,43650,Light,15792.0,1027.0,9.0,981.0,7.0,1055.0,10.0,949.0,6.0
SA,43710,Lower Eyre Peninsula,5910.0,1033.0,9.0,982.0,8.0,1037.0,9.0,953.0,6.0
SA,43790,Loxton Waikerie,11666.0,958.0,4.0,925.0,3.0,967.0,4.0,911.0,3.0
SA,44000,Maralinga Tjarutja,96.0,644.0,1.0,823.0,1.0,641.0,1.0,1043.0,9.0
SA,44060,Marion,94721.0,1008.0,8.0,994.0,8.0,974.0,5.0,1013.0,9.0
SA,44210,Mid Murray,9164.0,914.0,2.0,882.0,2.0,952.0,3.0,874.0,1.0
SA,44340,Mitcham,67617.0,1075.0,10.0,1073.0,10.0,1050.0,10.0,1094.0,10.0
SA,44550,Mount Barker,39217.0,1037.0,9.0,1004.0,8.0,1038.0,9.0,1002.0,8.0
SA,44620,Mount Gambier,26878.0,924.0,2.0,893.0,2.0,928.0,2.0,883.0,2.0
SA,45040,Murray Bridge,21644.0,891.0,2.0,866.0,1.0,923.0,2.0,853.0,1.0
SA,45120,Northern Areas,4559.0,979.0,6.0,948.0,5.0,975.0,5.0,957.0,6.0
SA,45290,Norwood Payneham and St Peters,37487.0,1038.0,9.0,1052.0,9.0,974.0,5.0,1090.0,10.0
SA,45340,Onkaparinga,175204.0,987.0,6.0,951.0,5.0,991.0,6.0,945.0,6.0
SA,45540,Peterborough,1638.0,773.0,1.0,783.0,1.0,853.0,1.0,825.0,1.0
SA,45680,Playford,99190.0,852.0,1.0,850.0,1.0,911.0,2.0,852.0,1.0
SA,45890,Port Adelaide Enfield,132400.0,953.0,4.0,953.0,6.0,937.0,2.0,978.0,8.0
SA,46090,Port Augusta,13829.0,889.0,2.0,877.0,1.0,892.0,2.0,870.0,1.0
SA,46300,Port Lincoln,14404.0,948.0,3.0,915.0,3.0,936.0,2.0,900.0,3.0
SA,46510,Prospect,22272.0,1054.0,10.0,1058.0,9.0,1000.0,7.0,1085.0,10.0
SA,46670,Renmark Paringa,9783.0,923.0,2.0,899.0,2.0,949.0,3.0,879.0,1.0
SA,46860,Robe,1542.0,1023.0,8.0,984.0,8.0,1006.0,8.0,965.0,7.0
SA,46970,Roxby Downs,3976.0,1048.0,9.0,1004.0,8.0,1010.0,8.0,919.0,4.0
SA,47140,Salisbury,145806.0,904.0,2.0,898.0,2.0,945.0,3.0,902.0,3.0
SA,47290,Southern Mallee,1979.0,997.0,7.0,962.0,6.0,985.0,6.0,944.0,6.0
SA,47490,Streaky Bay,2165.0,1000.0,7.0,960.0,6.0,977.0,5.0,945.0,6.0
SA,47630,Tatiara,6891.0,982.0,6.0,950.0,5.0,1004.0,8.0,926.0,4.0
SA,47700,Tea Tree Gully,101174.0,1030.0,9.0,996.0,8.0,1016.0,8.0,985.0,8.0
SA,47910,Tumby Bay,2817.0,993.0,7.0,954.0,6.0,979.0,5.0,955.0,6.0
SA,47980,Unley,38641.0,1067.0,10.0,1084.0,10.0,1014.0,8.0,1119.0,10.0
SA,48050,Victor Harbor,16139.0,962.0,4.0,927.0,3.0,970.0,4.0,925.0,4.0
SA,48260,Walkerville,8023.0,1075.0,10.0,1097.0,10.0,1035.0,9.0,1123.0,10.0
SA,48340,Wattle Range,11888.0,942.0,3.0,906.0,2.0,963.0,4.0,892.0,2.0
SA,48410,West Torrens,61699.0,1015.0,8.0,1010.0,9.0,960.0,3.0,1029.0,9.0
SA,48540,Whyalla,21244.0,883.0,1.0,868.0,1.0,879.0,1.0,865.0,1.0
SA,48640,Wudinna,1136.0,1009.0,8.0,972.0,7.0,987.0,6.0,959.0,7.0
SA,48750,Yankalilla,5834.0,978.0,5.0,942.0,5.0,991.0,6.0,938.0,5.0
SA,48830,Yorke Peninsula,11598.0,952.0,4.0,918.0,3.0,961.0,4.0,910.0,3.0
